Number_of_Vehicles,Number_of_Casualties,Day_of_Week,Time,Road_Type,Speed_limit,Junction_Detail,Junction_Control,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Urban_or_Rural_Area,Accident_Severity
0,0,6,2,3,30,5,4,0,1,1,1,3
0,0,7,5,2,30,6,4,0,8,1,1,3
0,0,5,4,6,30,3,4,0,4,1,1,3
0,0,6,2,6,30,7,2,0,5,1,1,3
0,0,2,4,2,30,3,2,0,5,1,1,2
0,0,5,3,3,30,6,2,0,5,1,1,3
0,0,1,3,3,30,3,2,0,5,1,1,3
0,0,5,5,2,30,7,4,0,1,1,1,3
0,0,4,6,2,30,3,4,0,0,1,1,1
0,0,3,6,6,30,3,2,0,5,1,1,3
0,0,4,4,2,30,3,2,0,5,1,1,2
0,0,4,2,6,30,3,2,0,5,1,1,3
0,0,3,7,3,30,6,2,0,5,4,1,3
0,0,4,2,6,30,7,4,0,1,1,1,3
0,0,4,2,2,30,6,4,0,0,1,1,3
0,0,4,6,6,30,3,2,0,5,1,1,2
0,0,7,5,6,30,1,4,0,0,1,1,3
0,0,2,5,6,30,3,2,0,5,1,1,3
0,0,4,7,3,30,3,4,0,0,4,1,3
0,0,5,5,6,30,6,2,0,5,1,1,2
0,0,7,2,3,30,7,2,0,5,1,1,3
0,0,7,4,6,30,3,4,0,5,1,1,3
0,0,2,0,3,30,7,2,0,5,4,1,3
0,0,3,5,3,30,3,2,0,0,1,1,3
0,0,3,5,3,30,6,2,0,0,1,1,3
0,0,4,4,6,30,6,2,0,5,1,1,3
0,0,2,7,6,30,3,2,0,5,4,1,3
0,0,4,4,6,30,3,4,0,1,1,1,3
0,0,6,2,2,30,3,4,0,0,1,1,3
0,0,6,5,6,30,3,2,0,5,1,1,2
0,0,2,2,6,30,6,2,0,5,1,1,3
0,0,3,2,6,30,7,2,0,5,1,1,3
0,0,4,4,6,30,9,4,0,0,1,1,3
0,0,5,5,3,30,9,2,0,5,1,1,3
0,0,3,2,6,30,3,4,0,4,1,1,3
0,0,6,5,3,30,6,2,0,5,1,1,3
0,0,5,2,6,30,3,4,0,5,1,1,3
0,0,6,3,6,30,6,2,0,5,1,1,3
0,0,1,5,6,30,3,4,0,4,1,1,3
0,0,3,3,3,30,3,4,0,0,1,1,3
0,0,3,2,2,30,7,4,0,0,1,1,3
0,0,2,5,2,30,3,2,0,5,1,1,3
0,0,2,5,6,30,6,2,0,5,1,1,3
0,0,3,6,3,30,6,2,0,5,1,1,3
0,0,4,4,6,30,7,2,0,5,1,1,2
0,0,5,6,6,30,3,4,0,8,1,1,3
0,0,4,2,3,30,3,4,0,4,1,1,3
0,0,4,3,6,30,3,4,0,5,1,1,3
0,0,4,3,3,30,3,2,0,5,1,1,3
0,0,7,4,6,30,3,4,0,0,1,1,2
0,0,4,6,6,30,3,2,0,5,1,1,3
0,0,4,7,6,30,3,2,0,5,4,1,3
0,0,4,3,6,30,6,2,0,5,1,1,3
0,0,1,0,6,30,3,4,0,0,4,1,3
0,0,4,2,6,30,3,2,0,5,1,1,2
0,0,3,2,2,30,1,2,0,0,1,1,3
0,0,3,3,6,30,6,4,0,0,1,1,2
0,0,2,3,6,30,7,2,0,5,1,1,3
0,0,2,2,6,30,9,4,0,0,1,1,3
0,0,3,3,6,30,8,4,0,0,1,1,3
0,0,4,2,3,30,9,2,0,5,1,1,3
0,0,6,6,3,30,5,4,0,5,4,1,2
0,0,6,7,6,30,6,2,0,5,4,1,2
0,0,4,6,6,30,6,2,0,5,1,1,3
0,0,5,4,3,30,6,2,0,5,1,1,3
0,0,4,5,6,30,3,2,0,5,1,1,2
0,0,2,3,3,30,3,2,0,5,1,1,3
0,0,2,6,7,30,5,4,0,0,1,1,3
0,0,4,5,2,30,3,4,2,0,1,1,3
0,0,6,6,6,30,6,4,0,0,4,1,3
0,0,5,2,6,30,3,4,0,5,4,1,3
0,0,3,3,6,30,3,2,0,5,1,1,3
0,0,5,4,3,30,5,4,0,0,1,1,2
0,0,5,5,2,30,5,4,0,0,1,1,3
0,0,1,7,9,30,6,2,0,5,4,1,3
0,0,6,5,3,30,9,4,0,4,1,1,3
0,0,6,5,3,30,3,2,0,5,1,1,2
